dataset,sample_id,patient_id,tissue,abundance_eligible,task004_cluster_type,task004_cluster_id,n_cells,n_rescued,rescued_fraction,n_neutrophil,n_ambiguous_myeloid,top_project_broad_celltype,cluster_review_flag,review_note
GSE149614,GSM4505960,HCC09,Adjacent,YES,sample_review_unit,sample_unit_GSE149614__GSM4505960,1962,650,0.331294597349643,43,43,T/NK,none,No rescued-cell dominance flag.
GSE149614,GSM4505961,HCC09,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505961,2816,599,0.212713068181818,82,38,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE149614,GSM4505963,HCC10,Adjacent,YES,sample_review_unit,sample_unit_GSE149614__GSM4505963,3072,1230,0.400390625,52,32,T/NK,none,No rescued-cell dominance flag.
GSE149614,GSM4505964,HCC10,Tumor,YES,sample_review_unit,sample_unit_GSE149614__GSM4505964,2799,466,0.1664880314398,13,19,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE242889,GSM7774394,case_1,Adjacent,YES,sample_review_unit,sample_unit_GSE242889__GSM7774394,5716,1155,0.202064380685794,696,190,T/NK,none,No rescued-cell dominance flag.
GSE242889,GSM7774395,case_2,Adjacent,YES,sample_review_unit,sample_unit_GSE242889__GSM7774395,5671,926,0.163286898254276,379,123,T/NK,none,No rescued-cell dominance flag.
GSE242889,GSM7774396,case_3,Adjacent,YES,sample_review_unit,sample_unit_GSE242889__GSM7774396,2425,412,0.169896907216495,214,66,T/NK,none,No rescued-cell dominance flag.
GSE242889,GSM7774397,case_4,Adjacent,YES,sample_review_unit,sample_unit_GSE242889__GSM7774397,8156,1388,0.170181461500736,408,147,B,none,No rescued-cell dominance flag.
GSE242889,GSM7774398,case_5,Adjacent,YES,sample_review_unit,sample_unit_GSE242889__GSM7774398,4435,588,0.132581736189402,792,165,plasma,none,No rescued-cell dominance flag.
GSE242889,GSM7774399,case_1,Tumor,YES,sample_review_unit,sample_unit_GSE242889__GSM7774399,4884,683,0.13984438984439,148,60,B,none,No rescued-cell dominance flag.
GSE242889,GSM7774400,case_2,Tumor,YES,sample_review_unit,sample_unit_GSE242889__GSM7774400,5518,574,0.104023196810439,2,1,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE242889,GSM7774401,case_3,Tumor,YES,sample_review_unit,sample_unit_GSE242889__GSM7774401,4540,358,0.0788546255506608,49,21,B,none,No rescued-cell dominance flag.
GSE242889,GSM7774402,case_4,Tumor,YES,sample_review_unit,sample_unit_GSE242889__GSM7774402,6028,1020,0.169210351692104,9,2,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE242889,GSM7774403,case_5,Tumor,YES,sample_review_unit,sample_unit_GSE242889__GSM7774403,5581,587,0.105178283461745,114,19,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE282701,GSM8649020,P15,Tumor,YES,sample_review_unit,sample_unit_GSE282701__GSM8649020,18060,417,0.0230897009966777,280,91,endothelial,none,No rescued-cell dominance flag.
GSE282701,GSM8649021,P15,Adjacent,YES,sample_review_unit,sample_unit_GSE282701__GSM8649021,10841,131,0.0120837561110599,1093,322,T/NK,none,No rescued-cell dominance flag.
GSE282701,GSM8649022,P14,Tumor,YES,sample_review_unit,sample_unit_GSE282701__GSM8649022,10024,397,0.0396049481245012,145,69,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE282701,GSM8649023,P14,Adjacent,YES,sample_review_unit,sample_unit_GSE282701__GSM8649023,10791,477,0.0442035029190992,1038,350,T/NK,none,No rescued-cell dominance flag.
GSE282701,GSM8649024,P13,Tumor,YES,sample_review_unit,sample_unit_GSE282701__GSM8649024,12087,2393,0.197981302225532,138,252,T/NK,none,No rescued-cell dominance flag.
GSE282701,GSM8649025,P13,Adjacent,YES,sample_review_unit,sample_unit_GSE282701__GSM8649025,11420,639,0.0559544658493871,84,51,T/NK,none,No rescued-cell dominance flag.
GSE282701,GSM8649026,P12,Tumor,YES,sample_review_unit,sample_unit_GSE282701__GSM8649026,12445,2649,0.212856568903174,100,87,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE282701,GSM8649027,P12,Adjacent,YES,sample_review_unit,sample_unit_GSE282701__GSM8649027,10867,553,0.0508880095702586,564,194,T/NK,none,No rescued-cell dominance flag.
GSE282701,GSM8649028,P11,Tumor,YES,sample_review_unit,sample_unit_GSE282701__GSM8649028,9817,2327,0.237037791586024,78,175,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE282701,GSM8649029,P11,Adjacent,YES,sample_review_unit,sample_unit_GSE282701__GSM8649029,10945,682,0.0623115577889447,1641,361,T/NK,none,No rescued-cell dominance flag.
GSE282701,GSM8649030,P10,Tumor,YES,sample_review_unit,sample_unit_GSE282701__GSM8649030,10712,214,0.0199775952203137,95,40,endothelial,none,No rescued-cell dominance flag.
GSE282701,GSM8649031,P10,Adjacent,YES,sample_review_unit,sample_unit_GSE282701__GSM8649031,9509,806,0.0847618046061626,300,137,T/NK,none,No rescued-cell dominance flag.
GSE299340,GSM9037556,patient_5,Tumor,YES,sample_review_unit,sample_unit_GSE299340__GSM9037556,7103,376,0.0529353794171477,370,195,T/NK,none,No rescued-cell dominance flag.
GSE299340,GSM9037557,patient_5,Adjacent,YES,sample_review_unit,sample_unit_GSE299340__GSM9037557,6521,261,0.0400245361140929,825,353,T/NK,none,No rescued-cell dominance flag.
GSE299340,GSM9037558,patient_3,Tumor,YES,sample_review_unit,sample_unit_GSE299340__GSM9037558,5878,427,0.072643756379721,501,260,monocyte/macrophage,none,No rescued-cell dominance flag.
GSE299340,GSM9037559,patient_3,Adjacent,YES,sample_review_unit,sample_unit_GSE299340__GSM9037559,8166,293,0.0358804800391869,733,387,T/NK,none,No rescued-cell dominance flag.
GSE299340,GSM9037560,patient_4,Tumor,YES,sample_review_unit,sample_unit_GSE299340__GSM9037560,6445,295,0.0457719162141195,102,67,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE299340,GSM9037561,patient_4,Adjacent,YES,sample_review_unit,sample_unit_GSE299340__GSM9037561,8317,404,0.0485752074065168,1086,307,T/NK,none,No rescued-cell dominance flag.
GSE299340,GSM9037562,patient_2,Tumor,YES,sample_review_unit,sample_unit_GSE299340__GSM9037562,10800,821,0.0760185185185185,82,95,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE299340,GSM9037563,patient_2,Adjacent,YES,sample_review_unit,sample_unit_GSE299340__GSM9037563,7206,252,0.0349708576186511,325,303,T/NK,none,No rescued-cell dominance flag.
GSE299340,GSM9037564,patient_1,Tumor,YES,sample_review_unit,sample_unit_GSE299340__GSM9037564,8341,426,0.0510730128281981,72,557,T/NK,none,No rescued-cell dominance flag.
GSE299340,GSM9037565,patient_1,Adjacent,YES,sample_review_unit,sample_unit_GSE299340__GSM9037565,7542,73,0.00967913020418987,207,303,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625168,patient_001,Adjacent,YES,sample_review_unit,sample_unit_GSE326201__GSM9625168,4954,96,0.0193782801776342,172,50,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625169,patient_001,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625169,11631,1167,0.100335310807325,280,94,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625170,patient_002,Adjacent,YES,sample_review_unit,sample_unit_GSE326201__GSM9625170,1905,248,0.130183727034121,66,23,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625171,patient_002,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625171,4408,1014,0.230036297640653,96,27,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
GSE326201,GSM9625172,patient_004,Adjacent,YES,sample_review_unit,sample_unit_GSE326201__GSM9625172,3346,625,0.186790197250448,213,52,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625173,patient_004,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625173,5436,1625,0.298933038999264,66,51,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625174,patient_005,Adjacent,YES,sample_review_unit,sample_unit_GSE326201__GSM9625174,6104,1128,0.184796854521625,121,36,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625175,patient_005,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625175,5260,767,0.145817490494297,83,36,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625176,patient_006,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625176,4357,1551,0.355978884553592,25,44,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625177,patient_008,Adjacent,YES,sample_review_unit,sample_unit_GSE326201__GSM9625177,3679,519,0.141070943191085,72,21,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625178,patient_008,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625178,5602,1160,0.20706890396287,24,43,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625179,patient_009,Adjacent,YES,sample_review_unit,sample_unit_GSE326201__GSM9625179,7422,1496,0.20156292104554,79,24,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625180,patient_009,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625180,4564,742,0.162576687116564,3,20,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625181,patient_010,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625181,5667,1399,0.246867831304041,18,28,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625182,patient_011,Adjacent,YES,sample_review_unit,sample_unit_GSE326201__GSM9625182,4935,347,0.0703140830800405,61,34,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625183,patient_011,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625183,3121,937,0.300224287087472,5,4,B,none,No rescued-cell dominance flag.
GSE326201,GSM9625184,patient_012,Adjacent,YES,sample_review_unit,sample_unit_GSE326201__GSM9625184,5795,780,0.134598792062123,95,48,T/NK,none,No rescued-cell dominance flag.
GSE326201,GSM9625185,patient_012,Tumor,YES,sample_review_unit,sample_unit_GSE326201__GSM9625185,4778,236,0.0493930514859774,94,60,T/NK,none,No rescued-cell dominance flag.
CRA002308,N01,CRA002308_P01,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__N01,8273,8273,1,1203,212,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,N02,CRA002308_P02,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__N02,12675,12675,1,1443,502,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,N03,CRA002308_P03,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__N03,13740,13740,1,540,307,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,N04,CRA002308_P04,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__N04,10719,10719,1,903,338,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,N05,CRA002308_P05,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__N05,6541,6541,1,845,193,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,N06,CRA002308_P06,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__N06,10384,10384,1,1102,439,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,N07,CRA002308_P07,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__N07,4811,4811,1,401,127,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,T01,CRA002308_P01,Tumor,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__T01,12938,12938,1,525,401,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,T02,CRA002308_P02,Tumor,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__T02,12233,12233,1,299,518,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,T03,CRA002308_P03,Tumor,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__T03,10562,10562,1,376,171,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,T04,CRA002308_P04,Tumor,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__T04,16817,16817,1,569,709,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,T05,CRA002308_P05,Tumor,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__T05,9927,9927,1,853,311,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,T06,CRA002308_P06,Tumor,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__T06,20399,20399,1,166,321,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
CRA002308,T07,CRA002308_P07,Tumor,CONDITIONAL,sample_review_unit,sample_unit_CRA002308__T07,8722,8722,1,579,405,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA01,in_house_P01,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA01,11605,11605,1,81,325,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA02,in_house_P02,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA02,13746,13746,1,2321,634,monocyte/macrophage,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA03,in_house_P03,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA03,6322,6322,1,1605,551,monocyte/macrophage,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA04,in_house_P04,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA04,9661,9661,1,499,124,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA05,in_house_P05,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA05,10555,10555,1,966,379,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA06,in_house_P06,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA06,11258,11258,1,383,149,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA07,in_house_P07,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA07,11712,11712,1,2665,437,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA08,in_house_P08,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA08,9779,9779,1,347,127,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA09,in_house_P09,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA09,13744,13744,1,314,470,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJCA10,in_house_P10,Tumor,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJCA10,9468,9468,1,527,162,monocyte/macrophage,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP01,in_house_P01,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP01,11813,11813,1,1556,561,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP02,in_house_P02,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP02,12428,12428,1,1984,514,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP03,in_house_P03,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP03,13019,13019,1,1802,766,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP04,in_house_P04,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP04,10778,10778,1,515,167,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP05,in_house_P05,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP05,13857,13857,1,2435,716,hepatocyte/tumor epithelial,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP06,in_house_P06,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP06,11836,11836,1,475,370,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP07,in_house_P07,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP07,17097,17097,1,1564,314,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP08,in_house_P08,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP08,11893,11893,1,772,149,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP09,in_house_P09,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP09,12706,12706,1,871,453,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
in_house,YJP10,in_house_P10,Adjacent,CONDITIONAL,sample_review_unit,sample_unit_in_house__YJP10,10439,10439,1,2086,366,T/NK,REVIEW_RESCUED_DOMINATED,Retain; inspect marker coherence and QC rather than deleting rescued cells.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Fb_02_CXCL12,49,0,0,0,0,fibroblast/mesenchymal,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_DC_01_CLEC9A,61,0,0,0,0,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD4T_03_GPR183,135,0,0,3,4,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD8T_08_GZMK,3960,0,0,21,74,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mono-like_03_CD14CD16,330,0,0,13,2,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD4T_08_STMN1,26,0,0,0,3,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD4T_05_CD69,243,0,0,1,4,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mu_02_ABCC9,50,0,0,0,0,fibroblast/mesenchymal,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mph_07_SLC40A1,2976,0,0,0,0,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD4T_10_FOXP3_CTLA4,320,0,0,0,12,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD4T_07_CXCL13,54,0,0,1,1,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_DC_02_CD1C,77,0,0,0,0,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Tumor,426,0,0,0,0,hepatocyte/tumor epithelial,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mph_09_STMN1,23,0,0,0,0,monocyte/macrophage,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_EC_05_KDR,462,0,0,3,0,endothelial,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mu_01_MYH11,180,0,0,0,0,fibroblast/mesenchymal,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD8T_13_STMN1,308,0,0,4,11,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD8T_06_CD69,40,0,0,0,0,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_NK_05_CD160,196,0,0,0,1,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD8T_07_PLCG2,42,0,0,0,1,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_EC_08_IGFBP3,69,0,0,0,0,endothelial,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mph_05_IL1B,42,0,0,0,0,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mph_06_CXCL9,67,0,0,0,0,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_EC_07_KDR_APOA2,31,0,0,0,0,endothelial,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD8T_11_SLC4A10,14,0,0,1,0,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mph_08_APOE,88,0,0,0,0,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mph_02_CCL20,7,0,0,0,0,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_EC_06_KDR_ESM1,49,0,0,0,0,endothelial,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD8T_04_GNLY,33,0,0,0,2,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_DC_06_STMN1,12,0,0,0,0,B,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_CD4T_06_PLCG2,12,0,0,0,0,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_NK_04_PLCG2,6,0,0,0,0,T/NK,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_Mono-like_02_CD16,7,0,0,0,0,monocyte/macrophage,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_EC_04_ACKR1,17,0,0,0,0,endothelial,none,No rescued-cell dominance flag.
nature_xue,A011_HCC,nature_xue_A011,Tumor,CONDITIONAL,author_annotation_unit,author_cluster_DC_03_LAMP3,13,0,0,0,0,B,none,No rescued-cell dominance flag.
